遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,第二區
威力彩,113000001,2024/01/01,55550700,555507,30552885,11,16,17,18,28,35,04
威力彩,113000002,2024/01/04,64923400,649234,53776814,2,3,6,12,24,28,05
威力彩,113000003,2024/01/08,70106200,701062,77441623,1,3,16,20,29,33,01
威力彩,113000004,2024/01/11,66086300,660863,98945887,4,10,16,17,22,34,05
威力彩,113000005,2024/01/15,68574100,685741,121727541,10,15,21,27,29,35,08
威力彩,113000006,2024/01/18,65073400,650734,133751407,2,4,6,14,31,34,03
威力彩,113000007,2024/01/22,66303300,663033,216439933,9,12,14,17,27,31,06
威力彩,113000008,2024/01/25,58108800,581088,34435072,3,10,11,17,26,29,01
威力彩,113000009,2024/01/29,68305000,683050,59959821,6,15,22,25,32,36,03
威力彩,113000010,2024/02/01,64931600,649316,74786040,4,13,21,23,25,29,07
威力彩,113000011,2024/02/05,84036400,840364,304835125,1,16,18,21,30,38,06
威力彩,113000012,2024/02/08,87108900,871089,335985419,10,15,20,24,25,34,02
威力彩,113000013,2024/02/12,162079900,1620799,400592577,2,18,21,28,30,35,08
威力彩,113000014,2024/02/15,154509500,1545095,445641002,2,7,17,22,32,33,04
威力彩,113000015,2024/02/19,145097900,1450979,487588720,5,6,18,26,33,38,05
威力彩,113000016,2024/02/22,125099000,1250990,517803841,4,13,14,17,24,25,04
威力彩,113000017,2024/02/26,158498300,1584983,573648997,4,7,11,12,35,37,08
威力彩,113000018,2024/02/29,70475500,704755,44673823,1,2,11,17,24,29,04
威力彩,113000019,2024/03/04,70965200,709652,67950282,3,5,10,24,37,38,07
威力彩,113000020,2024/03/07,63611800,636118,87480171,3,11,13,17,20,27,02
威力彩,113000021,2024/03/11,66976000,669760,111145570,5,11,14,26,30,33,03
威力彩,113000022,2024/03/14,63470200,634702,131329980,2,11,12,15,21,30,06
威力彩,113000023,2024/03/18,66775000,667750,154344329,2,10,11,19,23,35,01
威力彩,113000024,2024/03/21,62570600,625706,174168658,1,8,16,17,26,38,07
威力彩,113000025,2024/03/25,63997300,639973,196661072,2,15,16,23,24,38,05
威力彩,113000026,2024/03/28,59911200,599112,215744031,2,9,15,19,24,31,04
威力彩,113000027,2024/04/01,62021300,620213,237458245,3,9,27,35,36,37,02
威力彩,113000028,2024/04/04,58114500,581145,256405419,3,14,17,22,24,33,01
威力彩,113000029,2024/04/08,68663000,686630,282616768,5,6,8,11,18,23,05
威力彩,113000030,2024/04/11,69181900,691819,304392412,11,12,14,25,30,36,03
威力彩,113000031,2024/04/15,77744300,777443,332397176,6,7,8,14,27,36,07
威力彩,113000032,2024/04/18,56859600,568596,71298677,2,16,18,21,34,37,05
威力彩,113000033,2024/04/22,61647600,616476,93440356,2,14,19,22,31,35,01
